category,base_keyword,variation,example_usage
lottery,lottery,raffle bonus,"congratulations, claim your raffle bonus today!"
lottery,lottery,winning number game,your winning number game prize is waiting!
lottery,lottery,subscription prize,"your subscription prize awaits, confirm details fast"
lottery,lottery,million dollar game,claim your million dollar game windfall immediately
lottery,lottery,financial windfall,unlock your financial windfall; act now!
lottery,lottery,premium reward,unlock your premium reward by sending money
lottery,lottery,grand prize,you won the grand prize; send details
lottery,lottery,tax refund prize,claim your tax refund prize immediately!
lottery,lottery,charity raffle,support our charity raffle by paying fees!
lottery,lottery,bonus draw,"congratulations, you've won a bonus draw prize!"
lottery,lottery,prize draw,"claim your prize draw winnings urgently, before expiring!"
lottery,lottery,cash giveaway,receive immediate cash giveaway – just pay fees!
lottery,lottery,lottery grant,apply now for your lottery grant!
lottery,lottery,gift certificate giveaway,win gift certificates by giving information now!
lottery,lottery,international game,"congratulations, you won the international game!"
lottery,lottery,secret draw,discover your secret draw winnings before anyone else!
lottery,sweepstakes,elite rewards program,"""you've been selected! send bitcoin now."""
lottery,sweepstakes,exclusive draw,"""chosen recipient! send your bank details immediately."""
lottery,sweepstakes,"here are 20 scam-related variations of ""sweepstakes"" with example usages",
lottery,sweepstakes,lucky draw extravaganza,"""you're a winner! cover taxes before pickup."""
lottery,sweepstakes,golden opportunity giveaway,"""access your prize! provide your login details."""
lottery,sweepstakes,fortune frenzy challenge,"""we have your prize, but first, a transfer."""
lottery,sweepstakes,luxury reward event,"""receive your prize; share your credit card number."""
lottery,sweepstakes,cash jackpot raffle,"""you've won millions! provide your account number."""
lottery,sweepstakes,instant fortune contest,"""congratulations! cash a check, then wire back funds."""
lottery,sweepstakes,diamond draw,"""you've won! please provide your routing number."""
lottery,sweepstakes,secret millions lottery,"""you are a winner! wire the processing fee."""
lottery,sweepstakes,mega bucks tournament,"""get your winnings; send us your ssn."""
lottery,sweepstakes,lottery bonanza,"""you've won! send money for processing fees."""
lottery,sweepstakes,platinum celebration offer,"""confirm your win; purchase these gift cards."""
lottery,sweepstakes,golden ticket promotion,"""your ticket's been selected; pay for insurance first."""
lottery,sweepstakes,grand prize giveaway,"""claim your prize; verify with a small payment now."""
lottery,sweepstakes,celebration jackpot,"""you won! send a check for processing."""
lottery,sweepstakes,prize patrol announcement,"""we've found you! send your passport copy."""
lottery,sweepstakes,millionaire club prize,"""congratulations, you are a lucky winner!"""
lottery,sweepstakes,vip winner's circle,"""claim your prize! pay for expedited shipping."""
lottery,sweepstakes,limited-time offer,"""act now to collect! pay the shipping upfront."""
lottery,claim your prize,grab your bounty,grab your bounty: don't miss out!
lottery,claim your prize,secure your allocation,secure your allocation before the deadline
lottery,claim your prize,redeem your voucher,redeem your voucher for an exclusive prize!
lottery,claim your prize,accept your gift,accept your gift before our special offer ends!
lottery,claim your prize,capture your gains,capture your gains by acting immediately
lottery,claim your prize,receive your entitlement,"receive your entitlement today, before it's gone"
lottery,claim your prize,harvest your reward,harvest your reward and avoid disappointment!
lottery,claim your prize,seize your fortune,seize your fortune through our expert guidance
lottery,claim your prize,procure your settlement,procure your settlement via our secure link
lottery,claim your prize,take possession of your winnings,take possession of your winnings by clicking now!
lottery,claim your prize,access your windfall,access your windfall with our unique service
lottery,claim your prize,get your payout,"get your payout, just click the link"
lottery,claim your prize,cash in your award,cash in your award; it’s a limited-time offer
lottery,claim your prize,demand your gratification,demand your gratification – click here now!
lottery,claim your prize,secure your benefit,secure your benefit by providing details immediately
lottery,claim your prize,finalize your reward,finalize your reward by sending your info now
lottery,claim your prize,collect your winnings,you've won! collect your winnings now!
lottery,claim your prize,unlock your treasure,unlock your treasure with just a small fee
lottery,claim your prize,"here are 20 scam-related variations of ""claim your prize"" with example usages",
lottery,claim your prize,obtain your bonus,obtain your bonus by verifying your account
lottery,claim your prize,retrieve your reward,retrieve your reward to avoid forfeiture
